Pattern,First Approximation,Fetching Client Side Result,Accuracy Difference (%),Accuracy Percentage (%),Results Count,Pattern Type
 chaotic_oscillation,85.0489,86.5449,1.73,98.27,2,Challenging
 exponential_decay,102.2766,105.3686,2.93,97.07,2,Challenging
 exponential_growth,1.0283,1.0516,2.22,97.78,2,Challenging
 high_frequency_oscillation,92.7966,102.4512,9.42,90.58,1,Challenging
 high_variance_random,114.7414,130.0095,11.74,88.26,1,Challenging
 logarithmic,58.8553,65.8023,10.56,89.44,2,Challenging
 sine_wave,101.1491,102.2984,1.12,98.88,2,Challenging
 spike_pattern,196.5760,202.1077,2.74,97.26,1,Challenging
 step_function,56.0832,73.9170,24.13,75.87,1,Challenging
 constant_value,51.2129,52.6876,2.80,97.20,1,Favorable
 gentle_sine,56.1531,57.3062,2.01,97.99,1,Favorable
 gradual_trend,50.1163,52.9933,5.43,94.57,2,Favorable
 linear_decreasing,101.0299,102.0598,1.01,98.99,2,Favorable
 linear_increasing,44.0450,55.3917,20.48,79.52,2,Favorable
 low_variance_random,56.7483,57.3507,1.05,98.95,1,Favorable
 smooth_polynomial,80.9036,81.8072,1.10,98.90,2,Favorable